step:0/3125 val_loss:10.82585 train_time:0.000s step_avg:nanms
step:125/3125 val_loss:4.76064 train_time:436.352s step_avg:3490.81ms
step:250/3125 val_loss:4.12384 train_time:593.229s step_avg:1255.02ms
step:375/3125 val_loss:3.94975 train_time:747.809s step_avg:1236.64ms
step:500/3125 val_loss:3.85449 train_time:902.363s step_avg:1236.43ms
step:625/3125 val_loss:3.78777 train_time:1056.900s step_avg:1236.29ms
step:750/3125 val_loss:3.74193 train_time:1211.431s step_avg:1236.25ms
step:875/3125 val_loss:3.69972 train_time:1366.035s step_avg:1236.83ms
step:1000/3125 val_loss:3.65821 train_time:1520.525s step_avg:1235.92ms
step:1125/3125 val_loss:3.63193 train_time:1674.992s step_avg:1235.74ms
step:1250/3125 val_loss:3.60040 train_time:1829.481s step_avg:1235.91ms
step:1375/3125 val_loss:3.57442 train_time:1987.915s step_avg:1267.47ms
step:1500/3125 val_loss:3.54157 train_time:2142.366s step_avg:1235.61ms
step:1625/3125 val_loss:3.51868 train_time:2296.829s step_avg:1235.70ms
step:1750/3125 val_loss:3.49333 train_time:2452.179s step_avg:1242.80ms
step:1875/3125 val_loss:3.46953 train_time:2606.617s step_avg:1235.50ms
step:2000/3125 val_loss:3.44388 train_time:2762.140s step_avg:1244.18ms
step:2125/3125 val_loss:3.41838 train_time:2916.774s step_avg:1237.08ms
step:2250/3125 val_loss:3.39373 train_time:3071.190s step_avg:1235.33ms
step:2375/3125 val_loss:3.37091 train_time:3226.560s step_avg:1242.95ms
step:2500/3125 val_loss:3.34787 train_time:3381.683s step_avg:1240.99ms
step:2625/3125 val_loss:3.32606 train_time:3536.110s step_avg:1235.42ms
step:2750/3125 val_loss:3.30615 train_time:3693.641s step_avg:1260.25ms
step:2825/3125 val_loss:3.29524 train_time:3786.319s step_avg:1235.70ms
step:2850/3125 val_loss:3.29184 train_time:3817.215s step_avg:1235.82ms
step:2875/3125 val_loss:3.28900 train_time:3848.507s step_avg:1251.70ms
step:2900/3125 val_loss:3.28571 train_time:3879.399s step_avg:1235.68ms
step:2925/3125 val_loss:3.28240 train_time:3910.290s step_avg:1235.65ms
step:2950/3125 val_loss:3.27971 train_time:3941.182s step_avg:1235.65ms
step:2975/3125 val_loss:3.27701 train_time:3972.076s step_avg:1235.79ms
step:3000/3125 val_loss:3.27458 train_time:4002.969s step_avg:1235.71ms
step:3025/3125 val_loss:3.27204 train_time:4033.864s step_avg:1235.80ms
step:3050/3125 val_loss:3.26982 train_time:4068.184s step_avg:1372.81ms
step:3075/3125 val_loss:3.26803 train_time:4099.080s step_avg:1235.83ms
step:3100/3125 val_loss:3.26656 train_time:4129.979s step_avg:1235.97ms
step:3125/3125 val_loss:3.26544 train_time:4160.870s step_avg:1235.62ms
