step:0/3125 val_loss:10.82585 train_time:0.000s step_avg:nanms
step:125/3125 val_loss:4.80591 train_time:432.795s step_avg:3462.36ms
step:250/3125 val_loss:4.13539 train_time:587.514s step_avg:1237.75ms
step:375/3125 val_loss:3.95878 train_time:742.017s step_avg:1236.02ms
step:500/3125 val_loss:3.86003 train_time:896.525s step_avg:1236.06ms
step:625/3125 val_loss:3.79190 train_time:1050.994s step_avg:1235.76ms
step:750/3125 val_loss:3.74563 train_time:1205.428s step_avg:1235.47ms
step:875/3125 val_loss:3.70005 train_time:1359.871s step_avg:1235.54ms
step:1000/3125 val_loss:3.66108 train_time:1516.252s step_avg:1251.05ms
step:1125/3125 val_loss:3.63279 train_time:1670.661s step_avg:1235.27ms
step:1250/3125 val_loss:3.60079 train_time:1825.076s step_avg:1235.32ms
step:1375/3125 val_loss:3.57528 train_time:1979.483s step_avg:1235.25ms
step:1500/3125 val_loss:3.54288 train_time:2133.885s step_avg:1235.22ms
step:1625/3125 val_loss:3.51938 train_time:2288.291s step_avg:1235.25ms
step:1750/3125 val_loss:3.49334 train_time:2442.702s step_avg:1235.29ms
step:1875/3125 val_loss:3.47004 train_time:2597.097s step_avg:1235.16ms
step:2000/3125 val_loss:3.44400 train_time:2751.501s step_avg:1235.23ms
step:2125/3125 val_loss:3.41853 train_time:2908.575s step_avg:1256.59ms
step:2250/3125 val_loss:3.39381 train_time:3062.973s step_avg:1235.18ms
step:2375/3125 val_loss:3.37064 train_time:3219.120s step_avg:1249.18ms
step:2500/3125 val_loss:3.34775 train_time:3373.538s step_avg:1235.34ms
step:2625/3125 val_loss:3.32581 train_time:3527.935s step_avg:1235.18ms
step:2750/3125 val_loss:3.30582 train_time:3682.375s step_avg:1235.52ms
step:2825/3125 val_loss:3.29492 train_time:3775.007s step_avg:1235.08ms
step:2850/3125 val_loss:3.29163 train_time:3805.886s step_avg:1235.17ms
step:2875/3125 val_loss:3.28868 train_time:3837.170s step_avg:1251.37ms
step:2900/3125 val_loss:3.28525 train_time:3868.053s step_avg:1235.33ms
step:2925/3125 val_loss:3.28200 train_time:3898.940s step_avg:1235.47ms
step:2950/3125 val_loss:3.27936 train_time:3929.827s step_avg:1235.48ms
step:2975/3125 val_loss:3.27675 train_time:3960.713s step_avg:1235.43ms
step:3000/3125 val_loss:3.27428 train_time:3991.596s step_avg:1235.31ms
step:3025/3125 val_loss:3.27161 train_time:4022.477s step_avg:1235.26ms
step:3050/3125 val_loss:3.26939 train_time:4053.391s step_avg:1236.56ms
step:3075/3125 val_loss:3.26767 train_time:4084.273s step_avg:1235.29ms
step:3100/3125 val_loss:3.26613 train_time:4115.166s step_avg:1235.72ms
step:3125/3125 val_loss:3.26504 train_time:4146.051s step_avg:1235.40ms
