step:0/3125 val_loss:10.82585 train_time:0.000s step_avg:nanms
step:125/3125 val_loss:4.84412 train_time:182.360s step_avg:1458.88ms
step:250/3125 val_loss:4.14808 train_time:337.086s step_avg:1237.81ms
step:375/3125 val_loss:3.96299 train_time:491.611s step_avg:1236.20ms
step:500/3125 val_loss:3.86245 train_time:646.132s step_avg:1236.17ms
step:625/3125 val_loss:3.79383 train_time:800.672s step_avg:1236.32ms
step:750/3125 val_loss:3.74738 train_time:955.139s step_avg:1235.74ms
step:875/3125 val_loss:3.70157 train_time:1109.627s step_avg:1235.90ms
step:1000/3125 val_loss:3.66052 train_time:1264.216s step_avg:1236.72ms
step:1125/3125 val_loss:3.63309 train_time:1418.673s step_avg:1235.65ms
step:1250/3125 val_loss:3.60096 train_time:1573.147s step_avg:1235.79ms
step:1375/3125 val_loss:3.57506 train_time:1727.607s step_avg:1235.68ms
step:1500/3125 val_loss:3.54089 train_time:1882.045s step_avg:1235.51ms
step:1625/3125 val_loss:3.51901 train_time:2036.532s step_avg:1235.90ms
step:1750/3125 val_loss:3.49310 train_time:2191.024s step_avg:1235.94ms
step:1875/3125 val_loss:3.46957 train_time:2345.451s step_avg:1235.41ms
step:2000/3125 val_loss:3.44342 train_time:2499.922s step_avg:1235.77ms
step:2125/3125 val_loss:3.41839 train_time:2654.381s step_avg:1235.67ms
step:2250/3125 val_loss:3.39293 train_time:2808.901s step_avg:1236.16ms
step:2375/3125 val_loss:3.37015 train_time:2963.353s step_avg:1235.61ms
step:2500/3125 val_loss:3.34764 train_time:3117.833s step_avg:1235.84ms
step:2625/3125 val_loss:3.32547 train_time:3272.266s step_avg:1235.46ms
step:2750/3125 val_loss:3.30573 train_time:3426.721s step_avg:1235.64ms
step:2825/3125 val_loss:3.29470 train_time:3519.372s step_avg:1235.35ms
step:2850/3125 val_loss:3.29147 train_time:3550.257s step_avg:1235.42ms
step:2875/3125 val_loss:3.28834 train_time:3581.552s step_avg:1251.78ms
step:2900/3125 val_loss:3.28526 train_time:3612.439s step_avg:1235.50ms
step:2925/3125 val_loss:3.28198 train_time:3643.331s step_avg:1235.66ms
step:2950/3125 val_loss:3.27925 train_time:3674.222s step_avg:1235.64ms
step:2975/3125 val_loss:3.27670 train_time:3705.116s step_avg:1235.76ms
step:3000/3125 val_loss:3.27421 train_time:3736.003s step_avg:1235.49ms
step:3025/3125 val_loss:3.27163 train_time:3766.894s step_avg:1235.61ms
step:3050/3125 val_loss:3.26935 train_time:3797.818s step_avg:1236.99ms
step:3075/3125 val_loss:3.26763 train_time:3828.704s step_avg:1235.44ms
step:3100/3125 val_loss:3.26609 train_time:3859.594s step_avg:1235.59ms
step:3125/3125 val_loss:3.26496 train_time:3890.484s step_avg:1235.59ms
